iter	Passed	Remaining
1052	11994	10787
1053	12004	10774
1054	12013	10761
1055	12026	10750
1056	12035	10737
1057	12048	10727
1058	12058	10715
1059	12068	10702
1060	12080	10691
1061	12090	10678
1062	12099	10665
1063	12109	10653
1064	12118	10639
1065	12131	10629
1066	12140	10615
1067	12152	10604
1068	12167	10596
1069	12177	10584
1070	12187	10571
1071	12197	10559
1072	12209	10548
1073	12219	10535
1074	12229	10522
1075	12241	10512
1076	12251	10499
1077	12262	10487
1078	12271	10474
1079	12285	10465
1080	12297	10454
1081	12307	10441
1082	12317	10429
1083	12330	10419
1084	12341	10407
1085	12351	10394
1086	12363	10384
1087	12373	10371
1088	12383	10359
1089	12392	10345
1090	12401	10332
1091	12414	10322
1092	12424	10309
1093	12435	10298
1094	12447	10287
1095	12457	10275
1096	12468	10263
1097	12478	10250
1098	12487	10237
1099	12500	10227
1100	12508	10213
1101	12520	10203
1102	12530	10190
1103	12540	10177
1104	12553	10167
1105	12564	10155
1106	12573	10142
1107	12585	10132
1108	12594	10118
1109	12605	10107
1110	12617	10095
1111	12628	10084
1112	12636	10070
1113	12646	10058
1114	12657	10046
1115	12670	10036
1116	12680	10024
1117	12693	10013
1118	12702	10001
1119	12713	9989
1120	12721	9975
1121	12732	9963
1122	12744	9952
1123	12754	9940
1124	12767	9929
1125	12778	9918
1126	12787	9905
1127	12797	9893
1128	12810	9882
1129	12820	9870
1130	12830	9858
1131	12841	9846
1132	12853	9835
1133	12865	9825
1134	12875	9812
1135	12885	9800
1136	12896	9788
1137	12906	9776
1138	12916	9763
1139	12925	9750
1140	12935	9738
1141	12947	9727
1142	12958	9716
1143	12967	9702
1144	12979	9692
1145	12989	9679
1146	12999	9667
1147	13007	9653
1148	13017	9641
1149	13027	9629
1150	13038	9617
1151	13048	9605
1152	13060	9594
1153	13071	9582
1154	13084	9572
1155	13092	9558
1156	13104	9547
1157	13114	9535
1158	13125	9524
1159	13135	9512
1160	13149	9502
1161	13159	9490
1162	13172	9480
1163	13186	9470
1164	13199	9460
1165	13210	9449
1166	13224	9439
1167	13239	9430
1168	13249	9418
1169	13262	9408
1170	13276	9398
1171	13287	9387
1172	13301	9377
